id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40060814,Home in Porto · ★4.67 · 1 bedroom · 1 bed · 1 bath,76966864,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14492,-8.60803,Entire home/apt,122,2,3,2022-06-09,0.13,6,139,0,105436/AL
40412376,Rental unit in Porto · ★4.71 · 1 bedroom · 1 bed · 1 bath,312507452,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14422,-8.61095,Entire home/apt,99,1,148,2023-06-03,3.44,5,329,90,99423/AL
40061291,Home in Porto · ★5.0 · 1 bedroom · 1 bed · 1 bath,76966864,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14488,-8.60805,Entire home/apt,114,2,3,2023-04-24,0.12,6,138,1,105437/AL
40076427,Rental unit in Porto · ★4.76 · 1 bedroom · 1 bed · 2 baths,49819978,Oporto Guest,PORTO,Campanhã,41.14678,-8.58837,Entire home/apt,79,2,63,2023-05-31,1.56,19,281,34,104654/AL
39690549,Rental unit in Porto · 1 bedroom · 1 bed · 1 bath,297884835,Sleep In Office,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1477,-8.60635,Entire home/apt,103,2,0,,,6,341,0,95971/AL
40413529,Rental unit in Porto · ★4.57 · 1 bedroom · 1 bed · 1 bath,312507452,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14431,-8.61202,Entire home/apt,99,1,104,2023-06-10,2.43,5,338,62,98095/AL
39694282,Rental unit in Vila Nova de Gaia · ★4.87 · 2 bedrooms · 5 beds · 2 baths,305086146,Cris & Alex,VILA NOVA DE GAIA,Canidelo,41.12167,-8.66547,Entire home/apt,135,3,47,2023-06-11,1.36,3,277,16,106566/AL
40077401,Serviced apartment in Porto · 1 bedroom · 1 bed · 1 bath,213493497,Esher,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.152,-8.60814,Entire home/apt,90,2,0,,,14,264,0,101727/AL
40413902,Rental unit in Porto · ★4.59 · 1 bedroom · 1 bed · 1 bath,312507452,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14558,-8.61249,Entire home/apt,94,1,113,2023-06-08,2.65,5,293,66,98096/AL
40077847,Rental unit in Porto · ★4.27 · 1 bedroom · 2 beds · 1 bath,12730028,Host,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15222,-8.61126,Entire home/apt,100,1,26,2023-06-03,0.61,229,356,6,74530/AL
40414056,Rental unit in Porto · ★4.63 · 1 bedroom · 1 bed · 1 bath,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15954,-8.60605,Entire home/apt,86,1,32,2023-05-27,0.80,66,191,10,95836/AL
39709095,Rental unit in Porto · ★4.76 · 1 bedroom · 1 bed · 1 bath,303818330,Ashraf,PORTO,Bonfim,41.14934,-8.60127,Entire home/apt,90,1,54,2023-05-21,1.58,1,353,40,102506/AL
40414443,Rental unit in Porto · ★4.47 · 1 bedroom · 1 bed · 1 bath,312507452,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14618,-8.61244,Entire home/apt,75,1,51,2023-06-08,1.19,5,277,26,98097/AL
39729346,Loft in Porto · ★4.68 · 1 bedroom · 1 bed · 1 bath,305360357,Artur,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14564,-8.61425,Entire home/apt,69,3,94,2023-05-29,2.15,1,249,43,96588/AL
40415116,Rental unit in Porto · ★4.53 · 1 bedroom · 1 bed · 1 bath,312507452,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14394,-8.61062,Entire home/apt,88,1,143,2023-06-01,3.32,5,305,79,98098/AL
40429240,Rental unit in Bouças de Cima · ★4.52 · 1 bedroom · 2 beds · 1 bath,312682407,Simple Living,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.19213,-8.63061,Entire home/apt,42,3,61,2023-05-24,1.46,1,45,26,105472/AL
39741424,Rental unit in Porto · ★3.57 · 5 bedrooms · 5 beds · 3 baths,364783572,GuestReady,PORTO,Bonfim,41.15528,-8.5981,Entire home/apt,36,1,7,2022-06-12,0.20,206,222,0,59185/AL
39743518,Rental unit in Porto · ★4.66 · 1 bedroom · 1 bed · 1 bath,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14773,-8.60205,Entire home/apt,64,2,83,2023-06-04,1.98,45,345,34,101501/AL
40083816,Rental unit in Porto · Studio · 2 beds · 1 bath,309248805,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14615,-8.61286,Entire home/apt,89,1,0,,,4,0,0,"67989/AL, 91181/AL, 93697/AL, 93698/AL, 91182/AL, 91183/AL, 91184/AL"
40085768,Rental unit in Porto · Studio · 2 beds · 1 bath,309248805,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14626,-8.61272,Entire home/apt,119,1,1,2022-12-10,0.16,4,359,1,"67989, 91181, 93697, 93698, 91182, 91183, 91184/AL"
