id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26744961,Rental unit in Lisboa · ★4.85 · 1 bedroom · 1 bed · 1 bath,200978922,Estêvão,Lisboa,Penha de Frana,38.72226,-9.13034,Entire home/apt,105,3,84,2023-06-05,1.44,1,82,23,Exempt
26749991,Rental unit in Lisboa · ★4.86 · 1 bedroom · 2 beds · 2 baths,17125036,Rita & Helder,Lisboa,Alcntara,38.70183,-9.18229,Entire home/apt,99,3,72,2023-05-26,1.21,6,260,16,76342/AL
26933889,Aparthotel in Lisboa · 1 bedroom · 1 bed · 1 bath,168086820,Alfama,Lisboa,So Vicente,38.71471,-9.12957,Entire home/apt,121,1,0,,,4,356,0,23349/AL
26939316,Rental unit in Lisboa · ★4.82 · 1 bedroom · 2 beds · 1 bath,176257131,Isabel,Lisboa,Santo Antnio,38.72365,-9.14439,Entire home/apt,83,7,65,2023-06-12,1.17,1,181,21,54394/AL.
26751187,Rental unit in Lisboa · ★4.82 · 3 bedrooms · 5 beds · 2 baths,123304211,Rita,Lisboa,Alcntara,38.70017,-9.19166,Entire home/apt,231,3,73,2023-01-07,1.22,2,299,20,19330/AL
26763750,Rental unit in Lisboa · ★4.90 · 1 bedroom · 1 bed · 2 shared baths,189080208,Cláudia E José,Lisboa,Arroios,38.73129,-9.13419,Private room,65,4,21,2023-04-18,0.35,12,132,8,
26766178,Home in Praia da Areia Branca · ★4.77 · 4 bedrooms · 6 beds · 3 baths,197066420,Paulo,Lourinh,Lourinh e Atalaia,39.26635,-9.33422,Entire home/apt,215,2,13,2022-10-27,0.23,6,325,4,76017/AL
26766500,Guesthouse in Lisboa · 1 bedroom · 1 bed · 1 shared bath,201256213,Coquette  Home Lisbon - Guesthouse,Lisboa,Penha de Frana,38.73356,-9.13145,Private room,37,30,1,2018-10-08,0.02,6,62,0,76392/AL
27190385,Rental unit in Cascais · ★5.0 · 1 bedroom · 1 bed · 1 bath,97916186,Quinta,Cascais,Cascais e Estoril,38.70771,-9.45039,Entire home/apt,150,2,3,2021-08-26,0.06,3,94,0,77643/AL
27191669,Rental unit in Parede · ★4.87 · 1 bedroom · 2 beds · 1 bath,13222821,Alexandre,Cascais,Carcavelos e Parede,38.68494,-9.34653,Entire home/apt,90,2,46,2023-06-07,0.79,5,199,12,74781/AL
27193244,Rental unit in Cascais · 1 bedroom · 2 beds · 1 bath,97916186,Quinta,Cascais,Cascais e Estoril,38.70875,-9.4487,Entire home/apt,203,2,0,,,3,94,0,77018/AL
27193575,Rental unit in Cascais · 2 bedrooms · 3 beds · 1 bath,97916186,Quinta,Cascais,Cascais e Estoril,38.70887,-9.45026,Entire home/apt,240,2,1,2020-01-02,0.02,3,94,0,77643/AL
26941632,Tiny home in São João das Lampas · ★4.60 · 1 bedroom · 1 bed · 1 bath,67335900,Maria,Sintra,So Joo das Lampas e Terrugem,38.87227,-9.43222,Entire home/apt,52,1,217,2023-05-29,3.66,3,280,69,Exempt
27193715,Condo in Lisboa · ★5.0 · 1 bedroom · 1 bed · 1 bath,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,111,1,4,2023-05-02,0.21,6,202,2,24394/AL
27193718,Condo in Lisboa · 1 bedroom · 1 bed · 1 bath,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,122,1,1,2022-07-14,0.09,6,206,1,24394/AL
27193723,Condo in Lisboa · 1 bedroom · 2 beds · 2 baths,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,240,1,0,,,6,231,0,24406/AL
27193725,Condo in Lisboa · ★4.60 · 1 bedroom · 1 bed · 1 bath,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,132,1,5,2022-09-08,0.35,6,234,3,24399/AL
27193727,Condo in Lisboa · 1 bedroom · 2 beds · 1 bath,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,166,1,0,,,6,234,0,24405/AL
27193728,Condo in Lisboa · ★5.0 · 1 bedroom · 3 beds · 2 baths,58751787,Andre,Lisboa,Santa Maria Maior,38.71325,-9.1285,Entire home/apt,203,1,5,2022-09-26,0.10,6,254,3,24403/AL
26768023,Rental unit in Cruz Quebrada · ★4.71 · 1 bedroom · 3 beds · 1 bath,65874195,Ana,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70194,-9.25156,Entire home/apt,50,2,17,2022-12-26,0.29,1,0,9,Exempt
26768515,Rental unit in Lisboa · ★4.24 · 1 bedroom · 1 bed · 2.5 shared baths,195616739,Tomate & Gala,Lisboa,Estrela,38.70486,-9.1653,Private room,61,2,125,2023-05-29,2.10,8,269,19,
26941708,Rental unit in Ericeira · ★4.95 · 2 bedrooms · 4 beds · 2 baths,56981626,Casas Burnay,Mafra,Ericeira,38.96704,-9.41848,Entire home/apt,93,2,40,2023-05-06,0.83,6,261,18,579305/AL
26942221,Rental unit in Lisboa · ★4.74 · 1 bedroom · 2 beds · 1 shared bath,201543332,Nuno,Lisboa,Penha de Frana,38.7284,-9.12481,Private room,41,5,117,2023-06-08,1.98,4,70,32,
26946757,Rental unit in Lisboa · ★4.75 · 1 bedroom · 1 bed · 1 bath,15313307,Amos,Lisboa,Misericrdia,38.70995,-9.14523,Entire home/apt,120,3,124,2023-05-22,2.11,2,46,39,56548/AL
26947149,Condo in Ericeira · ★4.57 · 1 bedroom · 1 bed · 1 bath,31572637,Ericeira,Mafra,Ericeira,38.97104,-9.41995,Entire home/apt,85,3,7,2023-06-10,0.15,19,167,6,136839/AL
26948455,Rental unit in Lisboa · ★4.61 · 2 bedrooms · 3 beds · 1 bath,17680649,Any,Lisboa,So Vicente,38.72009,-9.1249,Entire home/apt,120,2,38,2023-05-13,0.65,1,255,25,71227/AL
26768536,Rental unit in Lisboa · ★4.62 · 2 bedrooms · 3 beds · 2 baths,195596956,Elda,Lisboa,Misericrdia,38.71232,-9.14619,Entire home/apt,259,3,166,2023-05-28,2.78,1,344,46,67660/AL
