Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in maia,★4.83,"1 bedroom, 2 beds, 1 bath",Maia,Cidade da Maia,Entire home/apt,109,2,Regina,6,2022-12-04 00:00:00,41.2363,-8.62106
Rental unit in porto,★4.64,"1 bedroom, 1 bed, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,94,1,Claudia,61,2023-06-04 00:00:00,41.14903,-8.61173
Rental unit in porto,★4.76,"1 bedroom, 1 bed, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,110,1,Claudia,54,2023-06-12 00:00:00,41.14843,-8.61104
Condo in fânzeres,★Unknown,"2 bedrooms, 2 beds, 1 bath",Gondomar,Baguim do Monte (Rio Tinto),Entire home/apt,84,2,Sandra,1,2023-04-09 00:00:00,41.19059,-8.52193
Casa particular in vila nova de gaia,★Unknown,"1 bedroom, 1 bed, 1 private bath",Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Private room,68,3,Sublime,0,,41.12531,-8.61415
Rental unit in porto,★Unknown,"1 bedroom, 2 beds, 2 shared baths",Porto,Paranhos,Private room,50,1,Hadassa,1,2022-05-10 00:00:00,41.16585,-8.61911
Rental unit in porto,★4.69,"1 bedroom, 1 bed, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,110,1,Claudia,78,2023-06-08 00:00:00,41.14909,-8.61193
Condo in porto,★4.71,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,250,1,Ricardo,7,2022-06-18 00:00:00,41.15556,-8.61517
Rental unit in porto,★4.99,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,96,2,Susana,80,2023-06-07 00:00:00,41.15074,-8.61163
Rental unit in póvoa de varzim,★5.0,"2 bedrooms, 3 beds, 1 bath",Póvoa de Varzim,"Póvoa de Varzim, Beiriz e Argivai",Entire home/apt,112,2,Fernando Eduardo,7,2023-04-17 00:00:00,41.39062,-8.77161
Home in porto,★4.69,"2 bedrooms, 3 beds, 1 bath",Matosinhos,"Perafita, Lavra e Santa Cruz do Bispo",Entire home/apt,159,1,Daniel,16,2022-11-05 00:00:00,41.22466,-8.68795
Home in porto,★5.0,"3 bedrooms, 3 beds, 2.5 baths",Paredes,Parada de Todeia,Entire home/apt,186,2,Floriane Et Christophe,18,2023-06-11 00:00:00,41.168186,-8.381511
Rental unit in porto,★4.92,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,164,1,Barbara,37,2023-05-27 00:00:00,41.14837646484375,-8.61056137084961
Rental unit in porto,★4.92,"1 bedroom, 1 bed, 1 bath",Porto,Campanhã,Entire home/apt,98,2,Ana,39,2023-05-21 00:00:00,41.161652,-8.586953
Camper/rv in vila nova da telha,★Unknown,"1 bedroom, 1 bed, 0 baths",Maia,Moreira,Entire home/apt,85,2,Pedro,0,,41.23717,-8.66748
Rental unit in porto,★4.48,"1 bedroom, 3 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,137,1,Vacationy,42,2023-06-07 00:00:00,41.15429,-8.61254
Rental unit in porto,★4.46,"2 bedrooms, 5 beds, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,199,1,Vacationy,26,2023-05-01 00:00:00,41.15361,-8.61104
Rental unit in porto,★4.64,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,99,1,Vacationy,50,2023-06-03 00:00:00,41.15418,-8.61272
Loft in porto,★4.94,"1 bedroom, 1 bed, 1 bath",Porto,Ramalde,Entire home/apt,72,2,Kinga E António,16,2023-05-08 00:00:00,41.17134,-8.65345
Rental unit in porto,★4.64,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,93,1,Vacationy,42,2023-06-03 00:00:00,41.15408,-8.61223
Rental unit in porto,★4.64,"2 bedrooms, 5 beds, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,174,1,Vacationy,45,2023-06-07 00:00:00,41.15308,-8.61118
Serviced apartment in porto,★Unknown,"1 bedroom, 1 bed, 1 bath",Porto,Bonfim,Entire home/apt,101,2,Charm,0,,41.148724,-8.601252
Rental unit in porto,★4.21,"2 bedrooms, 5 beds, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,186,1,Vacationy,24,2023-05-06 00:00:00,41.1548,-8.61127
Loft in vila nova de gaia,★4.94,"1 bedroom, 2 beds, 1 bath",Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,Entire home/apt,71,2,Stay Well Apartments,35,2023-06-02 00:00:00,41.13583,-8.60686
Rental unit in porto,★4.04,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,57,1,Lisa,50,2023-05-31 00:00:00,41.15986,-8.62369
Townhouse in santa maria da feira,★5.0,"3 bedrooms, 3 beds, 1 bath",Santa Maria da Feira,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Entire home/apt,64,2,Casa Do Carvalhal,3,2023-05-14 00:00:00,40.92168,-8.54903
Rental unit in porto,★4.43,"2 bedrooms, 4 beds, 2 baths",Porto,Bonfim,Entire home/apt,99,1,Guestready,93,2023-06-09 00:00:00,41.14484,-8.59755
Home in porto,★5.0,"4 bedrooms, 5 beds, 4 baths",Porto,Lordelo do Ouro e Massarelos,Entire home/apt,259,3,Perrine,6,2022-12-31 00:00:00,41.16083,-8.65785
Rental unit in porto,★4.40,"1 bedroom, 2 beds, 2 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,65,1,Rui,62,2023-04-17 00:00:00,41.15301,-8.61708
Rental unit in vila nova de gaia,★4.79,"2 bedrooms, 3 beds, 1 bath",Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Entire home/apt,87,2,Ana,33,2023-05-01 00:00:00,41.12669,-8.60331
Rental unit in porto,★3.33,"1 bedroom, 2 beds, 1 shared bath",Porto,Bonfim,Private room,41,2,Ana Claudia,6,2023-05-31 00:00:00,41.14929,-8.60162
