Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Loft in lisbon,★4.36,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,92,2,Ulrik,286,2023-05-21,38.71579,-9.13382
Rental unit in lisbon,★4.63,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,97,3,Antonio,175,2022-12-21,38.71851,-9.12439
Rental unit in lisbon,★4.78,"1 bedroom, 1 bed, 1 bath",Lisboa,Santo Antnio,Entire home/apt,189,3,Filipe,76,2023-05-31,38.71774,-9.15487
Rental unit in cascais,★4.63,"1 bedroom, 5 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,87,3,Margarida,60,2023-04-30,38.70916,-9.40665
Rental unit in lisbon,★4.55,"3 bedrooms, 6 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,505,1,Jose Luz,162,2023-06-04,38.70984,-9.13632
Rental unit in lisbon,★4.44,"3 bedrooms, 3 beds, 1 bath",Lisboa,Campolide,Entire home/apt,104,7,Augusto,31,2023-01-30,38.72729,-9.16317
Rental unit in lisbon,★4.17,"1 bedroom, 1 bed, 1 private bath",Lisboa,Misericrdia,Private room,125,2,Rodrigo,6,2017-09-20,38.71257,-9.1521
Rental unit in lisbon,★4.13,"2 bedrooms, 2 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,129,3,Diogo,94,2022-10-06,38.7225,-9.15488
Rental unit in lisbon,★4.62,"1 bedroom, 1 bed, 1 bath",Lisboa,Campolide,Entire home/apt,81,4,Augusto,21,2023-06-10,38.72727,-9.16273
Rental unit in cascais,★4.68,"Studio, 2 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,73,3,Claudio,223,2023-06-06,38.70018,-9.43272
Rental unit in lisbon,★4.61,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,98,2,Ulrik,280,2023-05-29,38.7143,-9.13059
Loft in lisbon,★4.51,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,89,2,Ulrik,327,2023-05-28,38.71191,-9.12864
Loft in lisbon,★4.41,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,87,2,Ulrik,289,2023-05-29,38.71189,-9.12867
Loft in lisbon,★4.47,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,89,2,Ulrik,322,2023-05-28,38.71189,-9.12867
Rental unit in lisboa,★4.18,"1 bedroom, 4 beds, 1 private bath",Lisboa,Avenidas Novas,Private room,59,2,Sandra,51,2023-05-29,38.72791,-9.15709
Rental unit in lisbon,★4.47,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,85,2,Sebastien,269,2023-05-30,38.719852,-9.129011
Rental unit in lisbon,★4.66,"2 bedrooms, 3 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,368,1,Jose Luz,82,2023-04-20,38.7106,-9.13689
Home in torres vedras,★4.29,"5 bedrooms, 8 beds, 4 baths",Torres vedras,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",Entire home/apt,256,2,Iveta,38,2023-05-21,39.10812,-9.23511
Rental unit in cascais,★4.96,"1 bedroom, 1 bed, 1 private bath",Cascais,Cascais e Estoril,Private room,50,2,Rosário,90,2023-06-05,38.69792,-9.4225
Rental unit in lisbon,★4.86,"2 bedrooms, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,149,2,Fadoflats,182,2023-05-29,38.71291,-9.14234
Rental unit in lisbon,★4.76,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,119,3,Fadoflats,125,2023-05-28,38.71291,-9.14234
Condo in lisbon,★4.93,"2 bedrooms, 1 bed, 1 shared bath",Lisboa,Santa Maria Maior,Private room,42,3,Mafalda,14,2023-06-05,38.71784,-9.13492
Rental unit in lisbon,★4.72,"1 bedroom, 2 beds, 1 bath",Lisboa,Belm,Entire home/apt,81,5,Elsa,138,2023-06-02,38.69735,-9.19489
Home in lisbon,★4.63,"2 bedrooms, 3 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,138,3,Justo,64,2023-05-22,38.71299,-9.15004
Chalet in cascais,★4.70,"3 bedrooms, 6 beds, 1 bath",Cascais,Carcavelos e Parede,Entire home/apt,85,7,Samantha,31,2022-11-30,38.69219,-9.35887
Rental unit in oeiras,★4.87,"2 bedrooms, 1 bed, 2 shared baths",Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",Private room,53,2,Alice,32,2023-05-28,38.7056,-9.23021
