Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
111123:União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;17262;2447;1799;9023;3993;8440;1249;947;4476;1768;8822;1198;852;4547;2225
111125:União das freguesias de Massamá e Monte Abraão;47804;6455;5838;26420;9091;22105;3277;2961;12061;3806;25699;3178;2877;14359;5285
111126:União das freguesias de Queluz e Belas;52414;7677;6376;29235;9126;24720;3924;3232;13881;3683;27694;3753;3144;15354;5443
111127:União das freguesias de São João das Lampas e Terrugem;17993;2618;1869;9505;4001;8636;1317;924;4645;1750;9357;1301;945;4860;2251
111128:União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);29896;4262;3429;16195;6010;14500;2173;1783;7918;2626;15396;2089;1646;8277;3384
111124:União das freguesias do Cacém e São Marcos;39683;6238;5257;23018;5170;18558;3167;2564;10674;2153;21125;3071;2693;12344;3017
111412:União das freguesias de Alhandra, São João dos Montes e Calhandriz;12645;1756;1370;6586;2933;6041;944;652;3195;1250;6604;812;718;3391;1683
111413:União das freguesias de Alverca do Ribatejo e Sobralinho;36465;5379;3769;20099;7218;17465;2777;1928;9601;3159;19000;2602;1841;10498;4059
111414:União das freguesias de Castanheira do Ribatejo e Cachoeiras;7954;1099;941;4339;1575;3806;566;473;2098;669;4148;533;468;2241;906
111415:União das freguesias de Póvoa de Santa Iria e Forte da Casa;40871;6221;4716;23705;6229;19542;3177;2368;11127;2870;21329;3044;2348;12578;3359
111408:Vialonga;21258;3886;2469;11671;3232;10261;2052;1237;5533;1439;10997;1834;1232;6138;1793
111409:Vila Franca de Xira;18336;2579;1962;9558;4237;8563;1323;988;4495;1757;9773;1256;974;5063;2480
110301:Alcoentre;3133;267;228;1924;714;1963;136;118;1371;338;1170;131;110;553;376
110302:Aveiras de Baixo;1431;185;130;710;406;691;99;58;368;166;740;86;72;342;240
110303:Aveiras de Cima;4669;634;525;2380;1130;2241;319;253;1169;500;2428;315;272;1211;630
110304:Azambuja;8257;1229;1013;4412;1603;3908;627;507;2100;674;4349;602;506;2312;929
110310:União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;2003;188;158;911;746;963;96;84;458;325;1040;92;74;453;421
110306:Vale do Paraíso;955;116;76;467;296;444;52;38;233;121;511;64;38;234;175
110307:Vila Nova da Rainha;973;182;104;535;152;491;95;54;270;72;482;87;50;265;80
