;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continua);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (to be continued);;;;;;;;;;;;;;;;;;;;
;"Densidade populacional 
?";Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Bragança;  29,5;- 0,26;- 0,77; 0,51;  5,9;  13,6;  2,4;  0,9;  29,5;x;x; 38,5; 70,9; 33,3;;11E0402;;;;x
Macedo de Cavaleiros;  20,4;- 0,39;- 0,99; 0,61;  5,9;  15,8;  2,2;  1,9;  34,5;x;x; 32,5; 65,5; 41,9;;11E0405;;;;x
Miranda do Douro;  13,2;- 1,31;- 1,80; 0,49;  4,0;  22,1;  1,2;  0,2;  26,7;x;x; 29,0; 73,1; 25,0;;11E0406;;;;x
Mirandela;  32,3;- 0,79;- 1,11; 0,33;  4,6;  15,8;  2,4;  1,3;  25,6;x;x; 34,1; 62,6; 30,8;;11E0407;;;;x
Mogadouro;  10,8;- 1,43;- 1,65; 0,22;  4,1;  20,6;  2,4;  1,6;  28,1;x;x; 28,3; 70,6; 35,0;;11E0408;;;;x
Vila Flor;  22,7;- 1,06;- 1,50; 0,45;  4,8;  19,8;  1,5;  1,8;  28,6;x;x; 32,4; 75,9; 66,7;;11E0410;;;;x
Vimioso;  8,6;- 0,99;- 1,66; 0,67;  3,9;  20,5;  2,2;  0,5;  28,3;x;x; 26,5; 75,0; 22,2;;11E0411;;;;x
Vinhais;  11,1;- 1,61;- 1,81; 0,19;  4,4;  22,4;  1,5;  0,5;  34,9;x;x; 24,6; 61,8; 41,7;;11E0412;;;;x
  Centro;  79,3; 0,00;- 0,75; 0,74;  6,7;  14,1;  2,7;  1,6;  33,5;  4,5;  1,29; 37,9; 59,6; 32,3;;16;;x;;
   Oeste;  164,9; 0,39;- 0,61; 0,99;  7,6;  13,7;  3,3;  1,5;  36,4;  4,8;  1,42; 40,2; 64,7; 25,1;;16B;;;x;
Alcobaça;  134,7;- 0,34;- 0,74; 0,40;  6,6;  14,0;  2,8;  1,7;  33,2;x;x; 38,0; 60,4; 33,3;;16B1001;;;;x
Alenquer;  147,8; 0,95;- 0,28; 1,23;  9,0;  11,8;  4,6;  1,6;  39,7;x;x; 43,8; 64,2; 17,3;;16B1101;;;;x
Arruda dos Vinhos;  183,3; 1,65;- 0,69; 2,34;  7,5;  14,5;  5,7;  1,8;  33,6;x;x; 44,2; 49,5; 23,5;;16B1102;;;;x
Bombarral;  140,5; 0,27;- 0,84; 1,11;  8,0;  16,4;  3,9;  1,0;  40,2;x;x; 37,9; 68,6; 12,0;;16B1005;;;;x
Cadaval;  77,0; 0,07;- 1,23; 1,29;  5,9;  18,1;  2,5;  1,3;  31,5;x;x; 36,0; 74,7; 27,3;;16B1104;;;;x
Caldas da Rainha;  201,0; 0,52;- 0,76; 1,29;  6,4;  14,0;  1,9;  1,4;  31,0;x;x; 38,9; 67,0; 25,5;;16B1006;;;;x
Lourinhã;  180,0; 0,53;- 0,65; 1,18;  7,7;  14,2;  2,1;  1,1;  37,1;x;x; 40,5; 65,2; 14,5;;16B1108;;;;x
Nazaré;  180,9;- 0,05;- 0,62; 0,57;  8,2;  14,5;  7,8;  1,8;  42,3;x;x; 37,1; 66,7; 16,5;;16B1011;;;;x
Óbidos;  85,3; 0,71;- 0,81; 1,53;  7,5;  15,6;  3,8;  1,8;  39,7;x;x; 37,0; 70,0; 39,1;;16B1012;;;;x
Peniche;  342,2; 0,09;- 0,60; 0,69;  7,9;  13,9;  3,3;  1,1;  39,7;x;x; 38,2; 73,3; 29,8;;16B1014;;;;x
Sobral de Monte Agraço;  205,5; 1,15;- 0,60; 1,75;  7,0;  13,1;  5,3;  1,9;  30,9;x;x; 44,3; 68,0; 31,5;;16B1112;;;;x
Torres Vedras;  205,3; 0,32;- 0,41; 0,73;  8,3;  12,4;  2,8;  1,6;  38,5;x;x; 41,8; 62,5; 30,0;;16B1113;;;;x
   Região de Aveiro;  218,4; 0,38;- 0,43; 0,81;  7,4;  11,7;  3,1;  1,7;  34,8;  5,8;  1,30; 40,7; 58,2; 28,9;;16D;;;x;
Águeda;  137,9; 0,02;- 0,51; 0,54;  6,6;  11,8;  2,3;  1,6;  32,4;x;x; 39,1; 59,2; 28,3;;16D0101;;;;x
Albergaria-a-Velha;  156,7;- 0,17;- 0,66; 0,49;  6,2;  12,8;  3,1;  1,8;  29,5;x;x; 40,8; 56,1; 25,7;;16D0102;;;;x
Anadia;  127,5;- 0,15;- 0,87; 0,72;  5,7;  14,4;  2,0;  1,5;  30,7;x;x; 35,4; 62,7; 47,2;;16D0103;;;;x
Aveiro;  414,2; 0,87;- 0,29; 1,15;  7,9;  10,7;  3,3;  1,8;  34,4;x;x; 43,4; 56,9; 24,7;;16D0105;;;;x
Estarreja;  243,2;- 0,03;- 0,66; 0,63;  7,1;  13,7;  3,4;  1,2;  35,4;x;x; 38,6; 54,3; 24,4;;16D0108;;;;x
Ílhavo;  538,5; 0,68;- 0,23; 0,91;  8,2;  10,5;  2,1;  1,7;  37,3;x;x; 41,5; 60,2; 40,2;;16D0110;;;;x
Murtosa;  144,4; 0,60;- 0,38; 0,98;  9,1;  12,9;  7,7;  2,1;  44,3;x;x; 40,0; 55,2; 17,5;;16D0112;;;;x
Oliveira do Bairro;  268,9; 1,19;- 0,48; 1,67;  7,2;  12,0;  4,7;  2,0;  32,4;x;x; 42,3; 62,5; 33,0;;16D0114;;;;x
Ovar;  373,7; 0,25;- 0,19; 0,45;  8,3;  10,3;  2,4;  2,0;  38,2;x;x; 41,7; 56,7; 30,2;;16D0115;;;;x
Sever do Vouga;  85,0;- 0,56;- 0,84; 0,28;  6,3;  14,7;  1,5;  1,0;  34,3;x;x; 35,6; 57,1; 5,9;;16D0117;;;;x
Vagos;  139,8; 0,48;- 0,42; 0,90;  7,6;  11,8;  5,0;  1,2;  36,1;x;x; 40,6; 61,7; 34,2;;16D0118;;;;x
   Região de Coimbra;  101,1;- 0,11;- 0,79; 0,67;  6,3;  14,2;  2,6;  1,7;  31,8;  2,6;  1,22; 37,3; 56,7; 32,9;;16E;;;x;
Arganil;  33,2;- 0,83;- 1,62; 0,79;  5,9;  22,1;  1,5;  1,2;  35,0;x;x; 32,1; 64,6; 25,0;;16E0601;;;;x
Cantanhede;  87,8;- 0,17;- 0,89; 0,72;  6,4;  15,3;  2,9;  1,4;  33,8;x;x; 35,8; 57,3; 40,0;;16E0602;;;;x
Coimbra;  443,1; 0,16;- 0,49; 0,65;  7,2;  12,1;  2,9;  1,8;  34,0;x;x; 39,5; 53,5; 39,7;;16E0603;;;;x
Condeixa-a-Nova;  122,0; 0,82;- 0,43; 1,26;  6,3;  10,7;  2,0;  1,6;  29,1;x;x; 40,8; 50,5; 33,3;;16E0604;;;;x
Figueira da Foz;  155,7;- 0,26;- 0,86; 0,60;  5,9;  14,4;  3,0;  1,9;  30,6;x;x; 36,3; 60,2; 16,0;;16E0605;;;;x
Góis;  14,4;- 1,15;- 2,14; 0,99;  2,9;  24,3;  1,8;  1,1;  18,5;x;x; 29,3; 63,6; 0,0;;16E0606;;;;x
Lousã;  123,4; 0,28;- 0,36; 0,64;  6,1;  9,7;  1,5;  1,7;  28,0;x;x; 41,9; 71,2; 33,3;;16E0607;;;;x
Mealhada;  175,9; 0,07;- 0,72; 0,80;  6,2;  13,4;  1,9;  1,4;  30,8;x;x; 38,4; 62,5; 37,8;;16E0111;;;;x
Mira;  97,8;- 0,30;- 0,97; 0,67;  6,3;  16,1;  2,8;  1,4;  34,6;x;x; 34,8; 49,4; 44,1;;16E0608;;;;x
Miranda do Corvo;  95,3;- 0,12;- 1,06; 0,94;  5,6;  16,2;  1,2;  2,0;  29,0;x;x; 36,8; 47,8; 53,3;;16E0609;;;;x
Montemor-o-Velho;  107,6;- 0,15;- 0,75; 0,60;  6,9;  14,4;  3,1;  1,4;  34,6;x;x; 38,3; 53,5; 35,5;;16E0610;;;;x
Mortágua;  35,7;- 0,39;- 0,96; 0,57;  5,9;  15,5;  1,9;  0,9;  35,6;x;x; 31,7; 54,7; 17,6;;16E1808;;;;x
Oliveira do Hospital;  82,7;- 0,49;- 0,85; 0,35;  6,2;  14,7;  1,2;  1,5;  33,0;x;x; 36,1; 63,6; 29,2;;16E0611;;;;x
Pampilhosa da Serra;  10,4;- 0,89;- 2,49; 1,60;  3,1;  28,1;  1,7;  1,2;  25,7;x;x; 23,7; 61,5; 28,6;;16E0612;;;;x
Penacova;  60,3;- 0,81;- 1,21; 0,40;  4,6;  16,8;  3,0;  1,9;  25,8;x;x; 33,9; 50,8; 35,9;;16E0613;;;;x
Penela;  40,3;- 0,92;- 1,63; 0,71;  4,6;  20,9;  6,6;  1,7;  26,6;x;x; 33,0; 40,0; 8,3;;16E0614;;;;x
Soure;  64,9;- 0,75;- 1,06; 0,31;  4,6;  15,2;  2,3;  2,0;  26,5;x;x; 33,4; 52,5; 30,0;;16E0615;;;;x
Tábua;  56,0;- 0,46;- 1,31; 0,85;  5,4;  18,5;  1,4;  1,3;  28,4;x;x; 36,5; 85,2; 18,8;;16E0616;;;;x
Vila Nova de Poiares;  81,1; 0,13;- 0,79; 0,92;  5,1;  13,0;  2,6;  1,0;  24,3;x;x; 39,7; 60,0; 44,4;;16E0617;;;;x
   Região de Leiria;  117,6; 0,12;- 0,52; 0,64;  7,1;  12,3;  2,4;  1,5;  34,7;  4,0;  1,33; 39,5; 58,3; 33,5;;16F;;;x;
Alvaiázere;  39,1;- 0,40;- 1,48; 1,08;  6,4;  21,2;  1,6;  0,8;  40,7;x;x; 29,5; 55,0; 40,0;;16F1002;;;;x
Ansião;  66,1;- 0,58;- 1,28; 0,70;  5,9;  18,7;  2,2;  1,3;  33,3;x;x; 33,8; 47,8; 42,3;;16F1003;;;;x
Batalha;  151,7; 0,63;- 0,40; 1,02;  6,6;  10,6;  4,9;  1,3;  31,2;x;x; 41,0; 49,0; 51,9;;16F1004;;;;x
