;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Arganil;  5 365;  2 653;  2 712;  3 668;  1 597;  2 071;  2 059;   821;  1 238;;16E0601;;;;x
Cantanhede;  16 814;  8 093;  8 721;  10 443;  4 481;  5 962;  5 540;  2 183;  3 357;;16E0602;;;;x
Coimbra;  74 981;  35 407;  39 574;  36 120;  14 999;  21 121;  17 606;  6 814;  10 792;;16E0603;;;;x
Condeixa-a-Nova;  9 042;  4 255;  4 787;  3 869;  1 589;  2 280;  2 006;   759;  1 247;;16E0604;;;;x
Figueira da Foz;  30 031;  14 364;  15 667;  16 835;  7 287;  9 548;  8 448;  3 407;  5 041;;16E0605;;;;x
Góis;  1 746;   853;   893;  1 437;   606;   831;   827;   307;   520;;16E0606;;;;x
Lousã;  9 110;  4 380;  4 730;  3 945;  1 731;  2 214;  2 002;   818;  1 184;;16E0607;;;;x
Mealhada;  10 236;  4 962;  5 274;  5 094;  2 183;  2 911;  2 657;  1 077;  1 580;;16E0111;;;;x
Mira;  5 908;  2 860;  3 048;  3 751;  1 594;  2 157;  2 002;   810;  1 192;;16E0608;;;;x
Miranda do Corvo;  6 260;  3 069;  3 191;  3 238;  1 389;  1 849;  1 715;   657;  1 058;;16E0609;;;;x
Montemor-o-Velho;  12 967;  6 330;  6 637;  6 427;  2 782;  3 645;  3 441;  1 394;  2 047;;16E0610;;;;x
Mortágua;  4 239;  2 094;  2 145;  3 169;  1 392;  1 777;  1 649;   692;   957;;16E1808;;;;x
Oliveira do Hospital;  9 841;  4 805;  5 036;  5 554;  2 391;  3 163;  2 927;  1 166;  1 761;;16E0611;;;;x
Pampilhosa da Serra;  1 718;   871;   847;  1 895;   802;  1 093;  1 104;   424;   680;;16E0612;;;;x
Penacova;  6 465;  3 182;  3 283;  4 213;  1 763;  2 450;  2 167;   822;  1 345;;16E0613;;;;x
Penela;  2 695;  1 348;  1 347;  1 725;   732;   993;   990;   383;   607;;16E0614;;;;x
Soure;  8 150;  3 984;  4 166;  5 813;  2 472;  3 341;  3 178;  1 244;  1 934;;16E0615;;;;x
Tábua;  5 523;  2 701;  2 822;  3 351;  1 470;  1 881;  1 816;   724;  1 092;;16E0616;;;;x
Vila Nova de Poiares;  3 649;  1 744;  1 905;  1 769;   765;  1 004;   926;   356;   570;;16E0617;;;;x
   Região de Leiria;  149 728;  72 715;  77 013;  72 814;  31 902;  40 912;  36 821;  15 040;  21 781;;16F;;;x;
Alvaiázere;  2 871;  1 408;  1 463;  2 315;   953;  1 362;  1 270;   468;   802;;16F1002;;;;x
Ansião;  5 576;  2 748;  2 828;  3 776;  1 604;  2 172;  2 104;   839;  1 265;;16F1003;;;;x
Batalha;  8 258;  3 987;  4 271;  3 611;  1 653;  1 958;  1 762;   766;   996;;16F1004;;;;x
Castanheira de Pêra;  1 205;   589;   616;  1 014;   437;   577;   539;   206;   333;;16F1007;;;;x
Figueiró dos Vinhos;  2 515;  1 231;  1 284;  1 870;   784;  1 086;   962;   356;   606;;16F1008;;;;x
Leiria;  69 429;  33 509;  35 920;  29 081;  12 785;  16 296;  14 299;  5 886;  8 413;;16F1009;;;;x
Marinha Grande;  20 875;  10 161;  10 714;  9 202;  4 144;  5 058;  4 296;  1 850;  2 446;;16F1010;;;;x
Pedrógão Grande;  1 619;   801;   818;  1 220;   525;   695;   653;   238;   415;;16F1013;;;;x
Pombal;  25 311;  12 316;  12 995;  14 901;  6 474;  8 427;  7 886;  3 196;  4 690;;16F1015;;;;x
Porto de Mós;  12 069;  5 965;  6 104;  5 824;  2 543;  3 281;  3 050;  1 235;  1 815;;16F1016;;;;x
   Viseu Dão Lafões;  126 599;  60 562;  66 037;  72 155;  31 237;  40 918;  37 273;  14 981;  22 292;;16G;;;x;
Aguiar da Beira;  2 372;  1 154;  1 218;  1 989;   854;  1 135;  1 085;   442;   643;;16G0901;;;;x
Carregal do Sal;  4 312;  2 089;  2 223;  2 875;  1 225;  1 650;  1 474;   597;   877;;16G1802;;;;x
Castro Daire;  6 619;  3 276;  3 343;  4 456;  1 905;  2 551;  2 326;   915;  1 411;;16G1803;;;;x
